trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.35, 'e': 0.5577500000000004}",20,8,-56.07204383964661,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.35, 'e': 0.5427500000000004}",30,0,-32.84978872202524,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.35, 'e': 0.5275000000000004}",25,9,-116.02538635628993,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 3}",1
61,False,"{'a': 0.35, 'e': 0.5120000000000005}",25,12,15.910335610447921,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.35, 'e': 0.49625000000000047}",25,0,-50.41895202999339,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.35, 'e': 0.48025000000000045}",20,0,-2.629720667728308,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.35, 'e': 0.46400000000000047}",25,1,-98.09783476393079,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 3}",1
65,False,"{'a': 0.35, 'e': 0.44750000000000045}",25,9,-33.72300478191767,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.35, 'e': 0.43075000000000047}",20,16,7.92667362443262,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.35, 'e': 0.41375000000000045}",20,9,13.183007914327266,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.35, 'e': 0.39650000000000046}",20,14,-2.6166268575082823,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.35, 'e': 0.37900000000000045}",25,6,-24.72386550833662,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.35, 'e': 0.36125000000000046}",25,9,9.054942363306719,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.35, 'e': 0.34325000000000044}",20,0,-120.58606014723071,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
